playlist_id,playlist_name,description,tracks_count,uri
37i9dQZF1DWTT2uaNCuEwQ,Hare Krishna,"Blissful aartis, bhajans & songs to sing praises to Lord Krishna.",50,spotify:playlist:37i9dQZF1DWTT2uaNCuEwQ
37i9dQZF1DX6o0zIiTnhmq,Magical Mantras,Mantras for meditation,50,spotify:playlist:37i9dQZF1DX6o0zIiTnhmq
37i9dQZF1DWV6eas0o9JXU,Aartis & Bhajans,Express gratitude and love with these prayers.,80,spotify:playlist:37i9dQZF1DWV6eas0o9JXU
37i9dQZF1DWWewwIBnx9QZ,Ganpati Bappa Moreya,Sweet sounds of devotion to praise Lord Ganesha. ,75,spotify:playlist:37i9dQZF1DWWewwIBnx9QZ
37i9dQZF1DX2LmjTY2eac5,Divine Vibes,New Age Devotional Tracks!,75,spotify:playlist:37i9dQZF1DX2LmjTY2eac5
37i9dQZF1DWXw5zio80eKE,Mata Ka Darbaar,Worship the Goddess of love and devotion with these blessed tunes.,75,spotify:playlist:37i9dQZF1DWXw5zio80eKE
37i9dQZF1DXdE1pRJvqV46,Spiritual Gurbani,"Find your truth, divine Gurbani by famous ragi ji's.",43,spotify:playlist:37i9dQZF1DXdE1pRJvqV46
37i9dQZF1DX1ZY1DoggQaf,Satnam Sri Waheguru Ji,"Baani hai guru, sarvan karo shabad gurbani.",51,spotify:playlist:37i9dQZF1DX1ZY1DoggQaf
37i9dQZF1DWW7cvWerSDSE,Gurpurab Sir Guru Nanak Dev Ji,Dhan Dhan Baba Shree Guru Nanak Dev ji de prakash purab diyan lakh lakh vadhaiyan,50,spotify:playlist:37i9dQZF1DWW7cvWerSDSE
37i9dQZF1DXbXt1ne2kKHF,Gurpurab Sri Guru Gobind Singh Ji,Dashmesh Pita de prakash parv diyan lakh lakh vadhaiyan,39,spotify:playlist:37i9dQZF1DXbXt1ne2kKHF
37i9dQZF1DWSUgfe6Uscrg,Arulvaai Amma,Time to get the blessings from Amma.,76,spotify:playlist:37i9dQZF1DWSUgfe6Uscrg
37i9dQZF1DWXf6ZGWAdbTv,Bakthi Paravasam,Best Bakthi songs from Tamil Movies,75,spotify:playlist:37i9dQZF1DWXf6ZGWAdbTv
37i9dQZF1DX320o1OKSfrB,Va Velava,Kandhanukku Arogara!!,75,spotify:playlist:37i9dQZF1DX320o1OKSfrB
37i9dQZF1DX99uWIVpEfEo,Sivamayam,Om Nama Sivaaya!,75,spotify:playlist:37i9dQZF1DX99uWIVpEfEo
37i9dQZF1DX4pymDDnhgh5,Thirumalai Vasa,Venkata Ramana Govinda Govinda!,75,spotify:playlist:37i9dQZF1DX4pymDDnhgh5
37i9dQZF1DX6EUcyVKIE73,Hindustani Classical,Selections of North Indian classical music.,63,spotify:playlist:37i9dQZF1DX6EUcyVKIE73
37i9dQZF1DX6QsiGlwQqfw,Hindustani Instrumental,Instrumentals from the North Indian school of music.,50,spotify:playlist:37i9dQZF1DX6QsiGlwQqfw
37i9dQZF1DX3LrQBSMX6aK,Indian Classical,Classical compositions from Ravi Shankar and more.,50,spotify:playlist:37i9dQZF1DX3LrQBSMX6aK
37i9dQZF1DWYfvJNWU1bKi,Tamil Romance,"The best in romantic tunes from Tamil cinema.
Cover : Leo",93,spotify:playlist:37i9dQZF1DWYfvJNWU1bKi
37i9dQZF1DX3NU3NvyoJUz,80's Love Hits,"The sound of love, as heard in the 80s. ",100,spotify:playlist:37i9dQZF1DX3NU3NvyoJUz
37i9dQZF1DX3w2Hr9f5Urj,Purely Kaadhal,"All the mushy feels from top romantic hits.
Cover : Chithha",50,spotify:playlist:37i9dQZF1DX3w2Hr9f5Urj
37i9dQZF1DWY7EoqMbT7wZ,90s Romance Tamil,"Best Romantic songs from 90s
Cover : Jeans",75,spotify:playlist:37i9dQZF1DWY7EoqMbT7wZ
37i9dQZF1DX3lmpQSniUBH,Romantic Malayalam,"Say ""I LOVE YOU"" with the best romantic tracks!
Cover: Hridayam",75,spotify:playlist:37i9dQZF1DX3lmpQSniUBH
37i9dQZF1DX1UGmKmt2DtZ,00s Romance Tamil,Love at its best from 00s,100,spotify:playlist:37i9dQZF1DX1UGmKmt2DtZ
37i9dQZF1DX57WIZsVQSIn,70's Love Hits,"Carefree to committed, the love of 70s. Cover - Bobby",100,spotify:playlist:37i9dQZF1DX57WIZsVQSIn
37i9dQZF1DX5Ejj0EkURtP,All Out 2010s,The biggest songs of the 2010s. ,150,spotify:playlist:37i9dQZF1DX5Ejj0EkURtP
37i9dQZF1DX4UtSsGT1Sbe,All Out 80s,The biggest songs of the 1980s. Cover: Michael Jackson.,150,spotify:playlist:37i9dQZF1DX4UtSsGT1Sbe
37i9dQZF1DX4o1oenSJRJd,All Out 2000s,The biggest songs of the 2000s. Cover: Lady Gaga.,150,spotify:playlist:37i9dQZF1DX4o1oenSJRJd
37i9dQZF1DX1uHCeFHcn8X,Soft 10s,Mellow songs from the 2010s. ,250,spotify:playlist:37i9dQZF1DX1uHCeFHcn8X
37i9dQZF1DWWylYLMvjuRG,Party Hits 2010s,The biggest party hits of the 2010s. Cover: Flo Rida,150,spotify:playlist:37i9dQZF1DWWylYLMvjuRG
37i9dQZF1DX7e8TjkFNKWH,Party Hits 2000s,The biggest party hits of the 2000s. Cover: Shakira. ,150,spotify:playlist:37i9dQZF1DX7e8TjkFNKWH
37i9dQZF1DWTJ7xPn4vNaz,All Out 70s,"The biggest songs of the 1970s. 
",150,spotify:playlist:37i9dQZF1DWTJ7xPn4vNaz
37i9dQZF1DXbTxeAdrVG2l,All Out 90s,The biggest songs of the 1990s. Cover: Sheryl Crow.,150,spotify:playlist:37i9dQZF1DXbTxeAdrVG2l
37i9dQZF1DX9tPFwDMOaN1,K-Pop ON! (온),Turn on the movement with the latest and greatest in K-Pop! Cover: THE BOYZ,51,spotify:playlist:37i9dQZF1DX9tPFwDMOaN1
37i9dQZF1DX4FcAKI5Nhzq,K-Pop Rising,Future K-Pop hits! Cover: BANG YEDAM,50,spotify:playlist:37i9dQZF1DX4FcAKI5Nhzq
37i9dQZF1DXe5W6diBL5N4,New Music K-Pop (국내 최신 가요),Enjoy the freshest K-Pop new releases (Cover: RYEOWOOK(려욱)) (국내 최신곡을 플레이리스트로 만나보세요!),294,spotify:playlist:37i9dQZF1DXe5W6diBL5N4
37i9dQZF1DX14fiWYoe7Oh,K-Pop Generations,The K-Pop idols who started it all from 90's - 10's. (90년대부터 2010년대까지 케이팝 아이돌 필수곡들을 즐겨보세요!),137,spotify:playlist:37i9dQZF1DX14fiWYoe7Oh
37i9dQZF1DX4IDaXtVjL83,K-Pop X-Overs,"Watch out for all the collaborations and cross-overs in the K-Pop world! (Cover: The Kid LAROI, Jung Kook, Central Cee)",91,spotify:playlist:37i9dQZF1DX4IDaXtVjL83
37i9dQZF1DWW46Vfs1oltB,KrOWN,The fresh & hottest K-Hip hop tracks. (Cover: punchnello),105,spotify:playlist:37i9dQZF1DWW46Vfs1oltB
37i9dQZF1DXbirtHQBuwCo,TrenChill K-R&B,Enjoy trendy & chill Korean R&B music. (Cover: DEAN),70,spotify:playlist:37i9dQZF1DXbirtHQBuwCo
37i9dQZF1DX4RDXswvP6Mj,K-Club Party,Let's party & clubbing with your favorite K-pop dance hits!! (Cover: Jung Kook) [지금 가장 핫한 댄스곡들을 만나보세요.],50,spotify:playlist:37i9dQZF1DX4RDXswvP6Mj
37i9dQZF1DX0018ciYu6bM,KimBops!,Rolling with the 'bops' in your Kimbap. Bringing you the songs that are currently trending and everything else in between. Cover: DEAN,90,spotify:playlist:37i9dQZF1DX0018ciYu6bM
37i9dQZF1DXdR77H5Z8MIM,Nolja!,Time to press play on these jaem jams from 2010 onwards! Cover: MONSTA X,70,spotify:playlist:37i9dQZF1DXdR77H5Z8MIM
37i9dQZF1DX5LEXW9eXA0n,"발라드, 려요 (K-Pop Ballad Hits)",New & hot K-Pop ballads. (Cover:DAVICHI(다비치)) (가장 핫한 최신 국내 발라드를 만나보세요!),105,spotify:playlist:37i9dQZF1DX5LEXW9eXA0n
37i9dQZF1DX0zlOicpTDXQ,Netflix Holidays Official Playlist,Listen to the official Netflix playlist featuring music from our holiday features and festive favorites from Netflix talent. Cover: Brandy in Best. Christmas. Ever. ,26,spotify:playlist:37i9dQZF1DX0zlOicpTDXQ
37i9dQZF1DX7pKSVhIpJRE,The Crown Official Playlist,"Change will challenge tradition. Listen to the music from and inspired by The Crown, streaming only on Netflix. ",139,spotify:playlist:37i9dQZF1DX7pKSVhIpJRE
37i9dQZF1DXchirPPLF8A7,Scott Pilgrim Takes Off Official Playlist,"Listen to the music from and inspired by Scott Pilgrim Takes Off, now streaming on Netflix. ",75,spotify:playlist:37i9dQZF1DXchirPPLF8A7
37i9dQZF1DX3YPBv1bwOB5,Rustin Official Playlist,"Own your power. Listen to the music from and inspired by Rustin, now streaming on Netflix. ",45,spotify:playlist:37i9dQZF1DX3YPBv1bwOB5
37i9dQZF1DWTyczwg2TmSH,Strong Black Lead Official Playlist,"Music inspired by Eric Effiong from Sex Education, now streaming on Netflix. ",29,spotify:playlist:37i9dQZF1DWTyczwg2TmSH
37i9dQZF1DWX9UWDWb55Kk,Élite - The Soundtrack,La música de la séptima temporada de ÉLI7E vive aquí ✨,408,spotify:playlist:37i9dQZF1DWX9UWDWb55Kk
37i9dQZF1DWZS3UUOdld0Q,Neon Official Playlist,"Their time will come. Eventually. Probably. Listen to the music from and inspired by Neon, now streaming on Netflix. ",66,spotify:playlist:37i9dQZF1DWZS3UUOdld0Q
37i9dQZF1DXc88qbKkzeR0,Netflix's most PLAYED,Curated by Chrishell Stause and G Flip. Watch the new season of Selling Sunset on Netflix.,50,spotify:playlist:37i9dQZF1DXc88qbKkzeR0
37i9dQZF1DX3qlqnyl4p68,Netflix & Chills,Spooky sounds from your favorite horror features on Netflix. Cover: Wednesday ,42,spotify:playlist:37i9dQZF1DX3qlqnyl4p68
37i9dQZF1DWSjcafaN2Bom,Sex Education Official Playlist,"Finish together. Listen to the official playlist for Sex Education, now streaming on Netflix. ",331,spotify:playlist:37i9dQZF1DWSjcafaN2Bom
37i9dQZF1DX6OLd5MrIVlk,ONE PIECE Official Playlist,"Come on board and bring along all your hopes and dreams. Listen to the music from and inspired by ONE PIECE, now streaming on Netflix. ",89,spotify:playlist:37i9dQZF1DX6OLd5MrIVlk
37i9dQZF1DX3vKaUkaHiqZ,LUPIN Official Playlist,"Listen to the official playlist for LUPIN, now streaming on Netflix.",62,spotify:playlist:37i9dQZF1DX3vKaUkaHiqZ
37i9dQZF1DWTuEPedcYvVB,Top Boy Official Playlist,The official playlist for Top Boy. Watch the final season on Netflix,77,spotify:playlist:37i9dQZF1DWTuEPedcYvVB
37i9dQZF1DWZWf7hUnPGOw,Virgin River Official Playlist,"Sometimes all you need is a fresh start. Listen to the music from, and inspired by, Virgin River, now stream on Netflix. ",217,spotify:playlist:37i9dQZF1DWZWf7hUnPGOw
37i9dQZF1DWZeis6l3TaSE,Everything Now Official Playlist,"Seize the day...Maybe? Listen to the music from and inspired by Everything Now, now streaming on Netflix. ",83,spotify:playlist:37i9dQZF1DWZeis6l3TaSE
37i9dQZF1DXbR9Y09ZMqEo,You Are So Not Invited to My Bat Mitzvah Official Playlist,"Listen to music from and inspired by You Are So Not Invited To My Bat Mitzvah, now streaming on Netflix. ",53,spotify:playlist:37i9dQZF1DXbR9Y09ZMqEo
37i9dQZF1DWYAFgmYBmOiv,POV Official Playlist,pov: you met a great guy but you have to fight your seven evil exes to be with him.,50,spotify:playlist:37i9dQZF1DWYAFgmYBmOiv
37i9dQZF1DX5KARSfd7WcM,Heartstopper: Official Playlist,"Show the world what love is made of. Listen to the music from Heartstopper, new season now streaming on Netflix. ",87,spotify:playlist:37i9dQZF1DX5KARSfd7WcM
