artist_id,artist_name,uri,followers,popularity,genres
4Mt0UzpAedYJYAvDMNjx2I,MiLES.,spotify:artist:4Mt0UzpAedYJYAvDMNjx2I,13144,32,['chill abstract hip hop']
3KrgUUwoRQ6OQp4IOmqnSF,Teen Jesus and the Jean Teasers,spotify:artist:3KrgUUwoRQ6OQp4IOmqnSF,29366,42,['canberra indie']
3LiQA7CeDBEpoWI0TNBJgv,The Grogans,spotify:artist:3LiQA7CeDBEpoWI0TNBJgv,42981,48,['australian surf rock']
5dtbsNKCK6Q9yZzdhZpaqW,Sean Leon,spotify:artist:5dtbsNKCK6Q9yZzdhZpaqW,39117,43,['canadian hip hop']
0bDqmuVnpecyZQuXZ7i85s,Seago,spotify:artist:0bDqmuVnpecyZQuXZ7i85s,903,25,[]
4N6xX91ZPlHR2YZ2RBOdPK,harper,spotify:artist:4N6xX91ZPlHR2YZ2RBOdPK,510,24,[]
1UIsVRTEON2C0CmFKGnmOw,Filip Sterne,spotify:artist:1UIsVRTEON2C0CmFKGnmOw,249,22,[]
5VGSBJHxdNEpZcI8Kx09HH,Daniel Hawes,spotify:artist:5VGSBJHxdNEpZcI8Kx09HH,164,22,[]
6bIM8yCfbkBSVS40TP5gCf,lighthearted,spotify:artist:6bIM8yCfbkBSVS40TP5gCf,3921,25,['athens indie']
4QlEFh3gBGqmboPVc7AwUp,Natanya,spotify:artist:4QlEFh3gBGqmboPVc7AwUp,10889,32,[]
392WuM1Yb4QRI0GG4epyn5,Goldie Boutilier,spotify:artist:392WuM1Yb4QRI0GG4epyn5,14697,41,['proto-hyperpop']
